# (a_i, b_i) = (0.200, 0.250)
# resolution: 150
# category labels: t=tipping, n=none(tip to periodic attractors), c=converge, ns=notSufficient
# load method: df = pd.read_csv('xxx.csv', comment='#')
# protocol s >=0
category,a,b
t,1.4568918081058952,-0.9602649006622517
t,1.482339612614295,-0.9602649006622517
t,1.507787417122695,-0.9602649006622517
t,1.5332352216310952,-0.9602649006622517
t,1.5586830261394948,-0.9602649006622517
t,1.584130830647895,-0.9602649006622517
t,1.6095786351562946,-0.9602649006622517
t,1.6350264396646947,-0.9602649006622517
t,1.6604742441730944,-0.9602649006622517
t,1.6859220486814945,-0.9602649006622517
t,1.7113698531898942,-0.9602649006622517
t,1.7368176576982943,-0.9602649006622517
t,1.7622654622066944,-0.9602649006622517
t,1.7877132667150941,-0.9602649006622517
t,1.8131610712234942,-0.9602649006622517
t,1.838608875731894,-0.9602649006622517
t,1.864056680240294,-0.9602649006622517
t,1.8895044847486937,-0.9602649006622517
t,1.9149522892570938,-0.9602649006622517
t,1.9404000937654935,-0.9602649006622517
t,1.9658478982738936,-0.9602649006622517
t,1.9912957027822933,-0.9602649006622517
t,2.0167435072906934,-0.9602649006622517
t,2.0421913117990935,-0.9602649006622517
t,2.067639116307493,-0.9602649006622517
t,2.0930869208158933,-0.9602649006622517
t,2.118534725324293,-0.9602649006622517
t,2.143982529832693,-0.9602649006622517
t,2.169430334341093,-0.9602649006622517
t,2.194878138849493,-0.9602649006622517
t,2.2203259433578926,-0.9602649006622517
t,2.2457737478662927,-0.9602649006622517
t,2.2712215523746924,-0.9602649006622517
t,2.2966693568830925,-0.9602649006622517
t,2.3221171613914926,-0.9602649006622517
t,2.3475649658998923,-0.9602649006622517
t,2.3730127704082924,-0.9602649006622517
t,2.398460574916692,-0.9602649006622517
t,2.423908379425092,-0.9602649006622517
t,2.449356183933492,-0.9602649006622517
t,2.474803988441892,-0.9602649006622517
t,2.5002517929502917,-0.9602649006622517
t,2.5256995974586918,-0.9602649006622517
t,2.5511474019670914,-0.9602649006622517
t,2.5765952064754916,-0.9602649006622517
t,2.6020430109838917,-0.9602649006622517
t,2.6274908154922914,-0.9602649006622517
t,2.6529386200006915,-0.9602649006622517
t,2.678386424509091,-0.9602649006622517
t,2.7038342290174913,-0.9602649006622517
t,2.729282033525891,-0.9602649006622517
t,2.754729838034291,-0.9602649006622517
t,2.7801776425426907,-0.9602649006622517
t,2.805625447051091,-0.9602649006622517
t,2.8310732515594905,-0.9602649006622517
t,2.8565210560678906,-0.9602649006622517
t,-0.9226065158958114,-0.9470198675496688
t,-0.8975014406333404,-0.9470198675496688
t,-0.8723963653708693,-0.9470198675496688
t,-0.8472912901083983,-0.9470198675496688
t,-0.8221862148459272,-0.9470198675496688
t,-0.7970811395834562,-0.9470198675496688
t,-0.7719760643209851,-0.9470198675496688
t,-0.746870989058514,-0.9470198675496688
t,-0.721765913796043,-0.9470198675496688
t,-0.696660838533572,-0.9470198675496688
t,-0.6715557632711009,-0.9470198675496688
t,-0.6464506880086298,-0.9470198675496688
t,-0.6213456127461587,-0.9470198675496688
t,1.0857995051018732,-0.9470198675496688
t,1.1360096556268153,-0.9470198675496688
t,1.1611147308892866,-0.9470198675496688
t,1.1862198061517575,-0.9470198675496688
t,1.2113248814142288,-0.9470198675496688
t,1.2364299566766996,-0.9470198675496688
t,1.261535031939171,-0.9470198675496688
t,1.2866401072016418,-0.9470198675496688
t,1.3117451824641126,-0.9470198675496688
t,1.336850257726584,-0.9470198675496688
t,1.3619553329890548,-0.9470198675496688
t,1.387060408251526,-0.9470198675496688
t,1.412165483513997,-0.9470198675496688
